                                                            ,delta_test_loss_at_h0  ,delta_test_loss_at_h1  ,delta_test_loss_at_h2  ,delta_test_loss_at_h3  ,delta_test_loss_at_h4  ,delta_test_loss_at_h5  ,delta_test_loss_at_h6  ,delta_test_loss_at_h7  ,delta_test_loss_at_h8  ,delta_test_loss_at_h9  ,delta_test_loss_at_h10 ,delta_test_loss_at_h11 ,delta_test_loss_at_h12 ,delta_test_loss_at_h13 ,delta_test_loss_at_h14 ,delta_test_loss_at_h15 ,delta_test_loss_at_h16 ,delta_test_loss_at_h17 ,delta_test_loss_at_h18 ,delta_test_loss_at_h19 ,delta_test_loss_at_h20 ,delta_test_loss_at_h21 ,delta_test_loss_at_h22 ,delta_test_loss_at_h23 ,delta_test_loss_at_h24 ,delta_test_loss_at_h25 ,delta_test_loss_at_h26 ,delta_test_loss_at_h27 ,delta_test_loss_at_h28 ,delta_test_loss_at_h29 ,delta_test_loss_at_h30 ,delta_test_loss_at_h31 ,delta_test_loss_at_h32 ,delta_test_loss_at_h33 ,delta_test_loss_at_h34 ,delta_test_loss_at_h35 ,delta_test_loss_at_h36 ,delta_test_loss_at_h37 ,delta_test_loss_at_h38 ,delta_test_loss_at_h39 ,delta_test_loss_at_h40 ,delta_test_loss_at_h41 ,delta_test_loss_at_h42 ,delta_test_loss_at_h43 ,delta_test_loss_at_h44 ,delta_test_loss_at_h45 ,delta_test_loss_at_h46 ,delta_test_loss_at_h47 ,delta_test_loss_at_h48 ,delta_test_loss_at_h49
input_weights_mean                                          ,0.6284182324756667     ,0.7525505889973914     ,0.8914403248535546     ,0.728006033339604      ,0.8779008476583368     ,0.895064294432233      ,0.6512649388041395     ,0.4157968063662051     ,0.3736477539538575     ,0.5307330579990025     ,0.7019815413516558     ,0.8473067238191371     ,0.8786334477008022     ,0.9046796551297012     ,0.9175650167210769     ,0.9291398029678309     ,0.942049337795574      ,0.9469997165588393     ,0.94757425789837       ,0.9487799464805704     ,0.9530927876145642     ,0.9565012143640218     ,0.9610936279085482     ,0.9655926630714092     ,0.9711236673948554     ,0.9778893866714488     ,0.9798820092068319     ,0.9832020229039599     ,0.9845955503029452     ,0.9852195187980459     ,0.9859834151041218     ,0.9876447693488485     ,0.9894229396330964     ,0.989283744784755      ,0.9894176554754641     ,0.9902207436263476     ,0.989746047698373      ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9905629830478829     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337     ,0.9904502504192337
input_weights_var                                           ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0
output_weights_mean                                         ,0.43638711510929196    ,0.5478375027806334     ,0.8633826664083493     ,0.9894194463068101     ,0.8779008476583368     ,0.856067036873142      ,0.917320819987908      ,0.6784199134181411     ,0.6252960466027634     ,0.7741956763764988     ,0.9402485092800488     ,0.9423849816324992     ,0.8908365380833788     ,0.8779008476583368     ,0.8779008476583368     ,0.8723833808860174     ,0.8637529804368043     ,0.8600259877343289     ,0.859409510501811      ,0.8580820742487177     ,0.854997336953408      ,0.8523013173541516     ,0.8472920054163429     ,0.8432553065643443     ,0.8385249897354613     ,0.8321497753238262     ,0.8312287546169608     ,0.828703121641429      ,0.8271907201292343     ,0.8270368378002363     ,0.8264542787371654     ,0.8242311908964248     ,0.82200586392559       ,0.8222555540417106     ,0.8222555540417106     ,0.8212267171335342     ,0.8216164003231511     ,0.8207850845335971     ,0.820961520762112      ,0.8207850845335971     ,0.8206527225413434     ,0.820524033364305      ,0.8207850845335971     ,0.8212267171335342     ,0.8209239783114833     ,0.8208461038471009     ,0.8212019691149733     ,0.8212267171335342     ,0.8211858823612169     ,0.8212013506113459
output_weights_var                                          ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
bias                                                        ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0
pre_activation_mean                                         ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0
post_activation_mean                                        ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0
input_weight_grads_mean                                     ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
input_weight_grads_var                                      ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
output_weight_grads_mean                                    ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,                       ,
