,delta_test_loss_at_h0,delta_test_loss_at_h1,delta_test_loss_at_h2,delta_test_loss_at_h3,delta_test_loss_at_h4,delta_test_loss_at_h5,delta_test_loss_at_h6,delta_test_loss_at_h7,delta_test_loss_at_h8,delta_test_loss_at_h9,delta_test_loss_at_h10,delta_test_loss_at_h11,delta_test_loss_at_h12,delta_test_loss_at_h13,delta_test_loss_at_h14,delta_test_loss_at_h15,delta_test_loss_at_h16,delta_test_loss_at_h17,delta_test_loss_at_h18,delta_test_loss_at_h19,delta_test_loss_at_h20,delta_test_loss_at_h21,delta_test_loss_at_h22,delta_test_loss_at_h23,delta_test_loss_at_h24,delta_test_loss_at_h25,delta_test_loss_at_h26,delta_test_loss_at_h27,delta_test_loss_at_h28,delta_test_loss_at_h29,delta_test_loss_at_h30,delta_test_loss_at_h31,delta_test_loss_at_h32,delta_test_loss_at_h33,delta_test_loss_at_h34,delta_test_loss_at_h35,delta_test_loss_at_h36,delta_test_loss_at_h37,delta_test_loss_at_h38,delta_test_loss_at_h39,delta_test_loss_at_h40,delta_test_loss_at_h41,delta_test_loss_at_h42,delta_test_loss_at_h43,delta_test_loss_at_h44,delta_test_loss_at_h45,delta_test_loss_at_h46,delta_test_loss_at_h47,delta_test_loss_at_h48,delta_test_loss_at_h49
input_weights_mean,-0.01803349292256452,-0.012503760754926452,0.005004062595420891,0.013560241465445468,0.006641243408270883,0.004835192894809882,0.017026817929503186,0.02972676242020538,0.031891826255897864,0.024332195392728285,0.014743366638912014,0.008289439356092141,0.005636358590063829,0.004364286705523164,0.0037699902858728757,0.0033159311684707125,0.002810012489592005,0.0025878920344157537,0.0025663127948931347,0.0024869553150152594,0.002281841520954762,0.0021246669442131464,0.001876339161809603,0.0016669789064668213,0.0014358312517346553,0.0011323688592839224,0.0010324382459061814,0.0008792256452955812,0.0008078823202886421,0.0007673535942270242,0.0007263599777962737,0.0006361157368859294,0.0005494865389952682,0.0005593810713294478,0.0005515056897030217,0.0005012003885650692,0.0005233139050790946,0.00048186927560364505,0.0004822300860394013,0.00046480710519011483,0.000465521787399387,0.00045224118789896145,0.0004713086316958037,0.0004833610879822281,0.0004722384124340739,0.00046674993061336526,0.0004741396058839757,0.0004796489036913565,0.0004742089925062339,0.0004753122398001564
input_weights_var,-0.48373177907299475,-0.5735724743269498,-0.5715884828130467,-0.5432622120455176,-0.508735810435748,-0.4674482028864835,-0.4243138912017763,-0.38550240077713016,-0.35509589925062446,-0.32829139605883983,-0.30654763391618095,-0.2925713849569803,-0.2843962114904246,-0.2812365598112684,-0.27943363863447135,-0.2783626561199001,-0.2775611434915348,-0.2767358659450458,-0.2760354843186234,-0.27540665417707466,-0.2747934984734943,-0.27437999583680267,-0.27401801276713855,-0.2738038856508465,-0.27373770469053565,-0.2736400707743547,-0.27347685956147655,-0.2734376630585623,-0.27342558284762697,-0.2733933388842631,-0.27337273105745213,-0.2733797391063003,-0.2733517971135165,-0.2732969053566472,-0.2732980710519012,-0.27325657785179014,-0.27322425062447964,-0.27322169025811827,-0.273185747987788,-0.273141555648071,-0.2731336733277824,-0.2731059325562032,-0.27310861087982236,-0.2730908756591729,-0.27309365112406325,-0.27310647377185676,-0.27310737579794614,-0.2731046974743269,-0.27310956147654736,-0.27310861087982236
output_weights_mean,-0.028735678601165694,-0.023589779350541216,-0.007541472397217183,0.0005502220371912407,-0.0060970302525673115,-0.007882139883430481,0.0037804121565362257,0.015876061615320566,0.01816881071329447,0.011498924507354978,0.0028823411046350247,-0.0027951359977796356,-0.00502801831806828,-0.006148043297252293,-0.006654059117402184,-0.007024583680266446,-0.007478059950041628,-0.007701429364418528,-0.007738454066056069,-0.007800874271440474,-0.007953753816264226,-0.008099888981404391,-0.008292665834027206,-0.008485616153205656,-0.008682049680821542,-0.008949784901470999,-0.008999833472106583,-0.009147432694976407,-0.009204801554260334,-0.009215174854288091,-0.009261039411601437,-0.009351193449902869,-0.009438308354149317,-0.009428559533721905,-0.009428601165695258,-0.009470836802664456,-0.009454988898140447,-0.009491049125728561,-0.009482910074937555,-0.009491298917568699,-0.009498390230363597,-0.009504440743824595,-0.009490611990008327,-0.009471065778517902,-0.00948474188176519,-0.009487968359700253,-0.009472994726616715,-0.009470004163197336,-0.00947461837357758,-0.009473549819594786
output_weights_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bias,-0.37848544268665,-0.4652142381348876,-0.4815068943968715,-0.4847167985012489,-0.48030498889814044,-0.46663418678878715,-0.44619665556480714,-0.4276727241187899,-0.4148416527893422,-0.4086953025256731,-0.40664131279489313,-0.4064196364140994,-0.4046853108520677,-0.40535621704135444,-0.40535496808215377,-0.40583506799888985,-0.40632676935886763,-0.4063812794893145,-0.406140938107133,-0.40592989869553153,-0.40579417152373026,-0.40573179988898145,-0.4056582223147377,-0.4056537607549265,-0.4060420482930891,-0.4063951984457397,-0.4063810921454344,-0.40647257840688317,-0.40653735081876213,-0.4065525950596725,-0.40659023036358594,-0.4067181168470719,-0.40673653899528167,-0.40670609214543435,-0.40674208992506244,-0.4067578753816265,-0.40672392450735495,-0.40675859006383575,-0.4067269983347211,-0.4066709825145712,-0.40664084790452404,-0.406614925062448,-0.40661214265889534,-0.406597203719123,-0.40661144879267275,-0.4066190535664724,-0.40660872883708027,-0.4066094157646406,-0.40660554399111853,-0.4066064460172079
pre_activation_mean,-0.3472227033028032,-0.42748337496530664,-0.4496956467701754,-0.4552362059394949,-0.44594793227865676,-0.4306955939494865,-0.41737717873993896,-0.40664299888981403,-0.3955361920621704,-0.3859233485983902,-0.3791677213433251,-0.3756965792395226,-0.3726265889536498,-0.37256534832084376,-0.37232617957257846,-0.3726357826810991,-0.3729227171801277,-0.3728930821537607,-0.37266810990840965,-0.37240839578129337,-0.3721617263391618,-0.3720293436025534,-0.3718768665001388,-0.37174493477657505,-0.3720322092700527,-0.372261608381904,-0.3722322509020261,-0.3722363585900639,-0.37229170135997786,-0.3722725645295587,-0.37228037052456286,-0.37232974604496255,-0.37231004718290317,-0.37228628920344153,-0.3723064876491813,-0.3723132528448515,-0.3722916111573689,-0.3723091798501249,-0.3722708923119623,-0.3722195392728282,-0.372171835970025,-0.37213649736330834,-0.372133659450458,-0.3721251179572579,-0.37212710241465446,-0.3721317443796836,-0.37212749791840133,-0.37213131418262557,-0.37212889952817096,-0.3721293505412157
post_activation_mean,-0.4857447682486817,-0.5792719469886206,-0.5837467675968526,-0.5640912225922842,-0.5350149181237857,-0.49896216347488204,-0.46173820427421597,-0.42820086733277835,-0.4012013738551208,-0.3771483694143769,-0.3577204690535665,-0.3455116361365529,-0.3381662989175687,-0.33561549403275054,-0.3341120871495975,-0.33328878018318076,-0.3326853455453789,-0.33199368581737443,-0.3313669095198446,-0.330753379128504,-0.3301740494032751,-0.3297933180682765,-0.32940871495975577,-0.3291364140993616,-0.3291482653344435,-0.32913288925895096,-0.32898957812933666,-0.32892323757979464,-0.3289018040521787,-0.32886154593394396,-0.328813849569803,-0.3287999861226755,-0.3287490910352484,-0.3286879197890647,-0.32867384818207046,-0.3286307868442965,-0.3286019497640855,-0.32860311545933946,-0.32855675825700803,-0.32850544684984734,-0.32846541076880376,-0.32843128642797675,-0.3284274840410769,-0.3284108312517347,-0.3284117679711352,-0.32841946988620596,-0.32841971967804606,-0.32842044823757977,-0.32842149597557596,-0.32842137801831806
input_weight_grads_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input_weight_grads_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_weight_grads_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_weight_grads_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre_activation_grad_mean,0.037011774909797394,0.03192246044962532,0.050306026315480125,0.07795120038856508,0.09931543158479048,0.12130350402442408,0.14362617263391617,0.16447533305578685,0.18028876630585622,0.19461937968359702,0.20772262697751875,0.2171147446572301,0.2221095753538718,0.224944317235637,0.22651149042464613,0.22788583819039693,0.22886511240632804,0.22967905911740216,0.23012053150152653,0.2305588606716625,0.2309886483485984,0.23132111434915353,0.23160960310852066,0.23177216208714962,0.2321777199555926,0.23244239522620044,0.232609582292534,0.23270607826810993,0.23275435747987785,0.23280465584235363,0.23292762281432142,0.2330550582847627,0.23312674854288096,0.23317642936441857,0.2332400985290036,0.2332433735775743,0.23332583263946716,0.233311393283375,0.2333144809880655,0.23332671384956985,0.23336217041354432,0.2333477449347766,0.23334177074660004,0.23336167082986403,0.23336987926727729,0.23336758257008047,0.2333720233139051,0.23337279350541218,0.23336573688592846,0.23336459200666118
post_activation_grad_mean,-0.011671135165140166,-0.00023663613655287166,0.023463908589167838,0.05387887177352206,0.0783329794615598,0.10090294199278378,0.12215711212878157,0.1419592631140716,0.15702537468776018,0.1722801137940605,0.18672726894254787,0.1971633014154871,0.20187439633638635,0.2046220024979184,0.2059914654454621,0.20720002775464888,0.20820418401332225,0.20894545517624202,0.20930356647238416,0.20964244379683597,0.2100301415487094,0.21031794338051626,0.21056730502359147,0.21072375797946158,0.2111776297529836,0.21144535803497086,0.21154292256452958,0.21163598390230362,0.21170290036081046,0.2118009575353872,0.21193046072717184,0.21200895087427146,0.21206184429641964,0.212108444351929,0.2121509089647516,0.2121901193449903,0.2122441715237302,0.21224612822647793,0.21225267138495696,0.21223808631695812,0.21228599084096586,0.21227391063003048,0.21230085345545377,0.21230911740216488,0.21231426588953653,0.2123138356924785,0.21231372467388288,0.21231681931723564,0.21231151817929503,0.2123132459061893
input_weights_mean_pct,0.09416503989828853,0.10864546699664028,0.10871627677066151,0.10183449339065037,0.09404454477835719,0.08496220858590303,0.0773973976068769,0.06984434386175918,0.06392056994346698,0.059168107408735994,0.05425487800939895,0.05121523812071239,0.04936738647902328,0.04878691524374562,0.04835930892628326,0.047982270196980356,0.04773558053446545,0.0476766586643841,0.047662159583680835,0.04759898924286785,0.04743015341542263,0.0473854383479598,0.04719947989605076,0.047077095407071695,0.04703433581917576,0.046917963907939744,0.046855872212439455,0.0467722354466933,0.04677787571782841,0.04676990418101748,0.04680530462428,0.04677926055922988,0.046714952421587054,0.04674929161704193,0.04677732595666903,0.04677977552537916,0.04679914938699562,0.046760415581766746,0.04674015792689409,0.04670680343022467,0.04671774298139603,0.046687930616753484,0.046724507131356945,0.04672198797262665,0.04670851882422197,0.04670294814310704,0.04670364752280978,0.04670726620385883,0.046706257148566306,0.0467062536690653
input_weights_var_pct,0.06410968663676603,0.07336554536461176,0.07083175855117191,0.06367385897897851,0.05710136667608149,0.049537091805522904,0.042346064246822766,0.03487422226678594,0.029706383387613534,0.025798230689615845,0.021507661882831423,0.01875319376993367,0.017362255251257487,0.01698340710634755,0.01674030171201334,0.016453026665354392,0.016251403637381093,0.01613505320559341,0.016056411800808135,0.015915353654291066,0.015845195301181683,0.0157292730250592,0.01552441620348439,0.015369385562331701,0.015373660157103132,0.015359367415953687,0.015295965568097843,0.0151559482227507,0.01507716409941036,0.014982503407053305,0.01491569719951795,0.014845072400399294,0.014780775950868984,0.014686755751539566,0.014617056882558715,0.014583274356290964,0.01453076437084541,0.014491172155104091,0.014489724083911172,0.014504632951505687,0.014473663025054971,0.014476270249390317,0.014416422441649826,0.014413700346282348,0.014416140485480055,0.014385630043157863,0.014382552891872881,0.014384067100932795,0.014374623309715447,0.014376228023224922
output_weights_mean_pct,0.07270095267537469,0.08653104565177677,0.08703852389563171,0.08065118868181234,0.0730515732701806,0.06424534110229438,0.05727665757192793,0.05067895502573854,0.04644990129944979,0.04248222220067381,0.03833951824678045,0.03577828290919152,0.034535453273705045,0.034192017470087745,0.03388455783746561,0.03365624230002942,0.03339901702866821,0.03328502808861902,0.033165949921477915,0.03301568892513751,0.03300976077620624,0.03288129782367539,0.03286148047084756,0.03270883846812489,0.032780930050254564,0.03274070009300336,0.03276088991320385,0.032631863038108784,0.03264339560264743,0.032601686218916,0.03263653106377926,0.03262895291919712,0.03261535960059662,0.032585739741961106,0.032588033723256304,0.03258407234129283,0.03256916320337581,0.03255061989782271,0.03258167044888966,0.03258102298224185,0.0325789865952044,0.032576682170898756,0.0325877308759533,0.0326008159680453,0.03258339702661716,0.03258345272267287,0.03259370079692636,0.032595886867113594,0.032587689103911494,0.03259299415321935
output_weights_var_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
