,n_horizons_q<0.05,mean_|rho|,max_|rho|,h_of_max
tmp128__q10__post_activation_grad_mean,50,0.5456971682124007,0.5771074798778796,delta_test_loss_at_h4
tmp64__q10__post_activation_grad_mean,50,0.5456940929973021,0.5771031015820149,delta_test_loss_at_h4
tmp32__q10__post_activation_grad_mean,50,0.5435451619675388,0.575175950596725,delta_test_loss_at_h4
tmp16__q10__post_activation_grad_mean,50,0.5273499817006884,0.5612438523452679,delta_test_loss_at_h4
tmp32__min__post_activation_grad_mean,50,0.4947482430096048,0.5254144948653899,delta_test_loss_at_h4
tmp64__min__post_activation_grad_mean,50,0.4947480426210397,0.5254145503746878,delta_test_loss_at_h4
tmp128__min__post_activation_grad_mean,50,0.4947429385411063,0.5254128434637803,delta_test_loss_at_h4
tmp16__min__post_activation_grad_mean,50,0.48735505136344576,0.5166129059117402,delta_test_loss_at_h4
tmp8__q10__post_activation_grad_mean,50,0.48570662949238785,0.5108890160976963,delta_test_loss_at_h4
tmp8__min__post_activation_grad_mean,50,0.48461663372480523,0.5060998751040799,delta_test_loss_at_h4
tmp32__abs_mean_second_diff__pre_activation_grad_mean,50,0.4695008629125203,0.59194170829864,delta_test_loss_at_h3
tmp64__abs_mean_second_diff__pre_activation_grad_mean,50,0.4669724492994078,0.6056242273905935,delta_test_loss_at_h2
tmp128__abs_mean_second_diff__pre_activation_grad_mean,50,0.4663515119556857,0.6101763957304422,delta_test_loss_at_h2
tmp32__mad__pre_activation_grad_mean,50,0.465069327039833,0.5956491510479912,delta_test_loss_at_h2
tmp64__mad__pre_activation_grad_mean,50,0.46506843056467334,0.595646292319149,delta_test_loss_at_h2
tmp128__mad__pre_activation_grad_mean,50,0.4650643513251509,0.5956509481615107,delta_test_loss_at_h2
tmp32__iqr__pre_activation_grad_mean,50,0.463553363051299,0.5901511320265114,delta_test_loss_at_h2
tmp64__iqr__pre_activation_grad_mean,50,0.4635525649663705,0.5901674240054462,delta_test_loss_at_h2
tmp128__iqr__pre_activation_grad_mean,50,0.46353906135826844,0.5902377404085658,delta_test_loss_at_h2
tmp8__pct_change_last_first__post_activation_grad_mean,50,0.46314127214438977,0.4890143005828476,delta_test_loss_at_h45
tmp16__mad__pre_activation_grad_mean,50,0.45302047393099665,0.5865564192808868,delta_test_loss_at_h2
tmp16__iqr__pre_activation_grad_mean,50,0.4508533898344646,0.5881170284981397,delta_test_loss_at_h2
tmp32__std__pre_activation_grad_mean,50,0.44477010604443895,0.6243885939233093,delta_test_loss_at_h2
tmp32__var__pre_activation_grad_mean,50,0.44477010604443895,0.6243885939233093,delta_test_loss_at_h2
tmp64__std__pre_activation_grad_mean,50,0.4447669786506006,0.624390127367664,delta_test_loss_at_h2
tmp64__var__pre_activation_grad_mean,50,0.4447669786506006,0.624390127367664,delta_test_loss_at_h2
tmp128__std__pre_activation_grad_mean,50,0.4447606714066373,0.624393832613299,delta_test_loss_at_h2
tmp128__var__pre_activation_grad_mean,50,0.4447606714066373,0.624393832613299,delta_test_loss_at_h2
tmp16__abs_mean_second_diff__pre_activation_grad_mean,50,0.4375866491312829,0.559631533722069,delta_test_loss_at_h2
tmp8__iqr__pre_activation_grad_mean,50,0.4325491611360466,0.5849194986563407,delta_test_loss_at_h2
tmp8__mad__pre_activation_grad_mean,50,0.42073285840163804,0.5683404291021621,delta_test_loss_at_h2
bias,50,0.41415632592568374,0.4847167985012489,delta_test_loss_at_h3
tmp32__q90__pre_activation_mean,50,0.4091164931479084,0.49511572994726616,delta_test_loss_at_h3
tmp128__q90__pre_activation_mean,50,0.40877305393059077,0.49503176519567027,delta_test_loss_at_h3
tmp64__q90__pre_activation_mean,50,0.40876685298693227,0.49502003191784627,delta_test_loss_at_h3
tmp16__max__pre_activation_mean,50,0.4080848429267691,0.5207574113953506,delta_test_loss_at_h2
tmp4__min__post_activation_grad_mean,50,0.4066035435869217,0.41900279628087705,delta_test_loss_at_h49
tmp16__mean__pre_activation_mean,50,0.40642289829536665,0.4703197058007217,delta_test_loss_at_h3
tmp8__abs_mean_second_diff__pre_activation_grad_mean,50,0.40557520790220536,0.5726889338280019,delta_test_loss_at_h2
tmp16__l2norm__pre_activation_mean,50,0.40521037775738095,0.4812512489592007,delta_test_loss_at_h3
tmp16__q90__pre_activation_mean,50,0.4050658885129597,0.497137806164225,delta_test_loss_at_h2
