horizon,rank,metric,rho,q_value,n
delta_test_loss_at_h0,1,tmp128__mad__post_activation_grad_mean,-0.64680816680544,0.0,1200
delta_test_loss_at_h0,2,tmp64__mad__post_activation_grad_mean,-0.6467983555370526,0.0,1200
delta_test_loss_at_h0,3,tmp32__mad__post_activation_grad_mean,-0.6467947682486818,0.0,1200
delta_test_loss_at_h0,4,tmp32__abs_mean_second_diff__post_activation_grad_mean,-0.606835165140161,0.0,1200
delta_test_loss_at_h0,5,tmp64__abs_mean_second_diff__post_activation_grad_mean,-0.6053801207327228,0.0,1200
delta_test_loss_at_h0,6,tmp128__abs_mean_second_diff__post_activation_grad_mean,-0.604451290591174,0.0,1200
delta_test_loss_at_h0,7,tmp128__q90__post_activation_grad_mean,-0.6031607271718014,0.0,1200
delta_test_loss_at_h0,8,tmp64__q90__post_activation_grad_mean,-0.6031263877324452,0.0,1200
delta_test_loss_at_h0,9,tmp32__q90__post_activation_grad_mean,-0.6015054121565362,0.0,1200
delta_test_loss_at_h0,10,tmp16__l2norm__post_activation_grad_mean,-0.5953342006661116,0.0,1200
delta_test_loss_at_h1,1,tmp128__mad__post_activation_grad_mean,-0.7232290036081044,0.0,1200
delta_test_loss_at_h1,2,tmp64__mad__post_activation_grad_mean,-0.7232254648903692,0.0,1200
delta_test_loss_at_h1,3,tmp32__mad__post_activation_grad_mean,-0.7232188731612545,0.0,1200
delta_test_loss_at_h1,4,tmp128__q90__post_activation_grad_mean,-0.6853533374965306,0.0,1200
delta_test_loss_at_h1,5,tmp64__q90__post_activation_grad_mean,-0.6853257493755204,0.0,1200
delta_test_loss_at_h1,6,tmp32__abs_mean_second_diff__post_activation_grad_mean,-0.6842262836525119,0.0,1200
delta_test_loss_at_h1,7,tmp64__abs_mean_second_diff__post_activation_grad_mean,-0.6840490840965863,0.0,1200
delta_test_loss_at_h1,8,tmp128__abs_mean_second_diff__post_activation_grad_mean,-0.6839189564252013,0.0,1200
delta_test_loss_at_h1,9,tmp32__q90__post_activation_grad_mean,-0.6838858659450459,0.0,1200
delta_test_loss_at_h1,10,tmp16__l1norm__post_activation_grad_mean,-0.6779907715792395,0.0,1200
delta_test_loss_at_h2,1,tmp128__mad__post_activation_grad_mean,-0.70839711127704,0.0,1200
delta_test_loss_at_h2,2,tmp64__mad__post_activation_grad_mean,-0.7083959525204461,0.0,1200
delta_test_loss_at_h2,3,tmp32__mad__post_activation_grad_mean,-0.7083880424454948,0.0,1200
delta_test_loss_at_h2,4,tmp128__q90__post_activation_grad_mean,-0.6730428959783588,0.0,1200
delta_test_loss_at_h2,5,tmp64__q90__post_activation_grad_mean,-0.6730177918983817,0.0,1200
delta_test_loss_at_h2,6,tmp32__q90__post_activation_grad_mean,-0.6716180763811028,0.0,1200
delta_test_loss_at_h2,7,tmp128__abs_mean_second_diff__post_activation_grad_mean,-0.6692961016338022,0.0,1200
delta_test_loss_at_h2,8,tmp64__abs_mean_second_diff__post_activation_grad_mean,-0.6689030368260146,0.0,1200
delta_test_loss_at_h2,9,tmp32__abs_mean_second_diff__post_activation_grad_mean,-0.668311286894374,0.0,1200
delta_test_loss_at_h2,10,tmp16__l1norm__post_activation_grad_mean,-0.6648318496138398,0.0,1200
delta_test_loss_at_h3,1,tmp128__mad__post_activation_grad_mean,-0.6693685747987788,0.0,1200
delta_test_loss_at_h3,2,tmp64__mad__post_activation_grad_mean,-0.6693684499028588,0.0,1200
delta_test_loss_at_h3,3,tmp32__mad__post_activation_grad_mean,-0.6693595614765474,0.0,1200
delta_test_loss_at_h3,4,tmp128__q90__post_activation_grad_mean,-0.6340006244796003,0.0,1200
delta_test_loss_at_h3,5,tmp64__q90__post_activation_grad_mean,-0.6339759783513739,0.0,1200
delta_test_loss_at_h3,6,tmp32__q90__post_activation_grad_mean,-0.6325871149042465,0.0,1200
delta_test_loss_at_h3,7,tmp128__abs_mean_second_diff__post_activation_grad_mean,-0.6291607826810991,0.0,1200
delta_test_loss_at_h3,8,tmp64__abs_mean_second_diff__post_activation_grad_mean,-0.6286217943380517,0.0,1200
delta_test_loss_at_h3,9,tmp32__abs_mean_second_diff__post_activation_grad_mean,-0.6279116985845129,0.0,1200
delta_test_loss_at_h3,10,tmp16__l1norm__post_activation_grad_mean,-0.6234486747155149,0.0,1200
delta_test_loss_at_h4,1,tmp128__mad__post_activation_grad_mean,-0.6280449625312239,0.0,1200
delta_test_loss_at_h4,2,tmp64__mad__post_activation_grad_mean,-0.6280445600888149,0.0,1200
delta_test_loss_at_h4,3,tmp32__mad__post_activation_grad_mean,-0.6280349569802943,0.0,1200
